Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
JPN 1001,8/26/2025,2:30 PM,8/26/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,8/26/2025,4:10 PM,8/26/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
POL 1101,8/27/2025,5:50 PM,8/27/2025,7:05 PM,American Government: Practices and Values,Newman Vertical Campus Rm 3-165,FALSE
MTH 4100,8/27/2025,12:50 PM,8/27/2025,2:05 PM,Linear Algebra and Matrix Methods,Newman Vertical Campus Rm 9-125,FALSE
JPN 1001,8/28/2025,2:30 PM,8/28/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,8/28/2025,4:10 PM,8/28/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
JPN 1001,9/2/2025,2:30 PM,9/2/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,9/2/2025,4:10 PM,9/2/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
POL 1101,9/3/2025,5:50 PM,9/3/2025,7:05 PM,American Government: Practices and Values,Newman Vertical Campus Rm 3-165,FALSE
MTH 4100,9/3/2025,12:50 PM,9/3/2025,2:05 PM,Linear Algebra and Matrix Methods,Newman Vertical Campus Rm 9-125,FALSE
JPN 1001,9/4/2025,2:30 PM,9/4/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,9/4/2025,4:10 PM,9/4/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
ENG 2150T,9/8/2025,2:30 PM,9/8/2025,5:25 PM,Writing II,Newman Vertical Campus Rm 11-165,FALSE
POL 1101,9/8/2025,5:50 PM,9/8/2025,7:05 PM,American Government: Practices and Values,Newman Vertical Campus Rm 3-165,FALSE
MTH 4100,9/8/2025,12:50 PM,9/8/2025,2:05 PM,Linear Algebra and Matrix Methods,Newman Vertical Campus Rm 9-125,FALSE
JPN 1001,9/9/2025,2:30 PM,9/9/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,9/9/2025,4:10 PM,9/9/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
POL 1101,9/10/2025,5:50 PM,9/10/2025,7:05 PM,American Government: Practices and Values,Newman Vertical Campus Rm 3-165,FALSE
MTH 4100,9/10/2025,12:50 PM,9/10/2025,2:05 PM,Linear Algebra and Matrix Methods,Newman Vertical Campus Rm 9-125,FALSE
JPN 1001,9/11/2025,2:30 PM,9/11/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,9/11/2025,4:10 PM,9/11/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
ENG 2150T,9/15/2025,2:30 PM,9/15/2025,5:25 PM,Writing II,Newman Vertical Campus Rm 11-165,FALSE
POL 1101,9/15/2025,5:50 PM,9/15/2025,7:05 PM,American Government: Practices and Values,Newman Vertical Campus Rm 3-165,FALSE
MTH 4100,9/15/2025,12:50 PM,9/15/2025,2:05 PM,Linear Algebra and Matrix Methods,Newman Vertical Campus Rm 9-125,FALSE
JPN 1001,9/16/2025,2:30 PM,9/16/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,9/16/2025,4:10 PM,9/16/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
POL 1101,9/17/2025,5:50 PM,9/17/2025,7:05 PM,American Government: Practices and Values,Newman Vertical Campus Rm 3-165,FALSE
MTH 4100,9/17/2025,12:50 PM,9/17/2025,2:05 PM,Linear Algebra and Matrix Methods,Newman Vertical Campus Rm 9-125,FALSE
JPN 1001,9/18/2025,2:30 PM,9/18/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,9/18/2025,4:10 PM,9/18/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
JPN 1001,9/25/2025,2:30 PM,9/25/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,9/25/2025,4:10 PM,9/25/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
ENG 2150T,9/29/2025,2:30 PM,9/29/2025,5:25 PM,Writing II,Newman Vertical Campus Rm 11-165,FALSE
POL 1101,9/29/2025,5:50 PM,9/29/2025,7:05 PM,American Government: Practices and Values,Newman Vertical Campus Rm 3-165,FALSE
MTH 4100,9/29/2025,12:50 PM,9/29/2025,2:05 PM,Linear Algebra and Matrix Methods,Newman Vertical Campus Rm 9-125,FALSE
JPN 1001,9/30/2025,2:30 PM,9/30/2025,3:45 PM,Elementary Japanese I,Lawrence & Eris Field Building Rm 209,FALSE
CIS 3550,9/30/2025,4:10 PM,9/30/2025,5:25 PM,Cybersecurity,Online Courses,FALSE
ENG 2150T,10/6/2025,2:30 PM,10/6/2025,5:25 PM,Writing II,Newman Vertical Campus Rm 11-165,FALSE
POL 1101,10/6/2025,5:50 PM,10/6/2025,7:05 PM,American Government: Practices and Values,Newman Vertical Campus Rm 3-165,FALSE
MTH 4100,10/6/2025,12:50 PM,10/6/2025,2:05 PM,Linear Algebra and Matrix Methods,Newman Vertical Campus Rm 9-125,FALSE
